date,open,gap,hod,low,close,eodVolume,pmVolume,floatShares,marketCap,hodTime,lodTime,openPush,hodToClose,closedRed
6/11/2020,$11.28 ,464.00%,$15.39 ,$6.01 ,$7.10 ,"53,000,000","4,790,000","1,200,000","$13,536,000 ",10:30:00 AM,2:47:00 PM,36.44%,-53.87%,yes
6/12/2020,$4.61 ,130.50%,$4.61 ,$2.46 ,$2.90 ,"10,000,000","2,800,000","1,470,000","$6,776,700 ",9:30:00 AM,12:54:00 PM,0.00%,-37.09%,yes
6/12/2020,$7.50 ,228.95%,$8.37 ,$2.95 ,$2.90 ,"24,000,000","1,800,000","2,500,000","$18,750,000 ",9:38:00 AM,3:24:00 PM,11.60%,-65.35%,yes
6/12/2020,$5.02 ,336.52%,$6.04 ,$1.37 ,$1.50 ,"47,000,000","2,500,000","6,920,000","$34,738,400 ",10:15:00 AM,3:58:00 PM,20.32%,-75.17%,yes
6/15/2020,$2.60 ,106.35%,$2.61 ,$1.76 ,$1.94 ,"25,000,000","8,445,000","24,570,000","$63,882,000 ",9:31:00 AM,12:04:00 PM,0.38%,-25.67%,yes
6/15/2020,$1.59 ,112.00%,$2.20 ,$1.21 ,$1.31 ,"12,000,000","2,440,000","6,780,000","$10,780,200 ",9:44:00 AM,11:12:00 AM,38.36%,-40.45%,yes
6/15/2020,$7.25 ,141.67%,$10.00 ,$5.53 ,$5.85 ,"43,000,000","3,110,000","3,000,000","$21,750,000 ",10:33:00 AM,2:30:00 PM,37.93%,-41.50%,yes
6/16/2020,$1.56 ,95.00%,$3.33 ,$1.40 ,$2.40 ,"227,000,000","2,400,000","26,000,000","$40,560,000 ",2:52:00 PM,9:35:00 AM,113.46%,-27.93%,no
6/16/2020,$7.21 ,100.28%,$8.42 ,$4.80 ,$5.89 ,"17,500,000","1,400,000","12,970,000","$93,513,700 ",9:46:00 AM,12:00:00 PM,16.78%,-30.05%,yes
6/16/2020,$5.86 ,202.06%,$7.47 ,$1.70 ,$1.61 ,"13,700,000","2,128,000","5,000,000","$29,300,000 ",9:37:00 AM,3:59:00 PM,27.47%,-78.45%,yes
6/17/2020,$3.52 ,59.28%,$3.52 ,$2.71 ,$2.77 ,"26,000,000","3,750,000","37,180,000","$130,873,600 ",9:30:00 AM,3:13:00 PM,0.00%,-21.31%,yes
6/17/2020,$5.10 ,104.00%,$5.40 ,$2.54 ,$2.80 ,"6,400,000","1,600,000","1,530,000","$7,803,000 ",9:32:00 AM,3:36:00 PM,5.88%,-48.15%,yes
6/17/2020,$2.79 ,179.00%,$4.89 ,$2.30 ,$1.51 ,"57,000,000","2,250,000","3,740,000","$10,434,600 ",10:11:00 AM,3:44:00 PM,75.27%,-69.12%,yes
